AGT MGT INST NAME,AGENT CODE,count,Actual_Pay
,,,
ZENITH BANK PLC,90283074,6,600
ZENITH BANK PLC,90283177,65,7500
ZENITH BANK PLC,90755911,6,600
ZENITH BANK PLC,90605755,9,900
ZENITH BANK PLC,90839388,2,200
ZENITH BANK PLC,90278831,101,13175
ZENITH BANK PLC,90801343,42,4500
kb,91067839,2,200
ZENITH BANK PLC,91049067,9,900
ZENITH BANK PLC,91284904,16,1600
ZENITH BANK PLC,90946249,2,200
Chams Mobile,91146725,5,500
Chams Mobile,90524336,194,31300
Chams Mobile,91395703,6,600
Chams Mobile,90278098,65,7500
Chams Mobile,91404807,95,12125
Chams Mobile,90275913,35,3625
Chams Mobile,91334624,4,400
Chams Mobile,90944510,18,1800
Chams Mobile,91146722,27,2700
Chams Mobile,91004611,23,2300
Chams Mobile,90804106,18,1800
Chams Mobile,90047661,255,43500
Chams Mobile,91353718,125,17500
Chams Mobile,91149935,4,400
Chams Mobile,91434486,30,3000
Chams Mobile,91066312,29,2900
Chams Mobile,91028644,10,1000
Chams Mobile,91440406,7,700
Chams Mobile,91393123,9,900
Chams Mobile,90959034,73,8700
Chams Mobile,91082536,3,300
Chams Mobile,91025615,3,300
Chams Mobile,91027687,9,900
Chams Mobile,91027685,5,500
Chams Mobile,91004609,96,12300
Chams Mobile,91391614,13,1300
Chams Mobile,91459458,9,900
Chams Mobile,91415748,23,2300
Chams Mobile,90964348,10,1000
Chams Mobile,90524373,4,400
Chams Mobile,90582860,137,19900
Chams Mobile,91418992,25,2500
Chams Mobile,91146726,4,400
Chams Mobile,91025240,44,4750
Chams Mobile,91447660,2,200
Chams Mobile,91025247,22,2200
Chams Mobile,91012648,15,1500
Chams Mobile,90275772,22,2200
Chams Mobile,91381677,5,500
Chams Mobile,91381673,15,1500
Chams Mobile,91397066,1,100
Chams Mobile,91437773,25,2500
Chams Mobile,91004610,7,700
Chams Mobile,91084821,3,300
Chams Mobile,91340376,3,300
Chams Mobile,91003981,10,1000
Chams Mobile,90362654,19,1900
Chams Mobile,90496658,16,1600
Chams Mobile,91034125,3,300
Chams Mobile,90879900,15,1500
Chams Mobile,91292649,3,300
Chams Mobile,91397538,41,4375
Chams Mobile,91455464,2,200
Chams Mobile,91025613,12,1200
Chams Mobile,90490704,5,500
Chams Mobile,91436443,27,2700
Chams Mobile,91434488,7,700
Chams Mobile,91336241,6,600
Chams Mobile,90330421,4,400
Chams Mobile,91441847,11,1100
Chams Mobile,91383545,1,100
Chams Mobile,90048083,2,200
Chams Mobile,91067841,1,100
Chams Mobile,91405696,5,500
Chams Mobile,91066311,4,400
Chams Mobile,91450878,1,100
Chams Mobile,91027686,14,1400
Chams Mobile,91403719,3,300
Chams Mobile,91372889,1,100
Chams Mobile,91418990,3,300
Chams Mobile,91421710,2,200
Chams Mobile,91083600,12,1200
Chams Mobile,91383546,1,100
